,No correction,,ECP2,,ECP6,,SAFER_32,,PAYG,,FREE-p,,Aegis 9x61,,Zombie_XOR,,RIDER,,RIDER + FREE-p,,RIDER + ECP4,,RIDER-XOR,,RIDER-XOR + ECP4,,RIDER + Aegis 17x31
1.72E+08,74.6,3.05E+08,108.85,1.52E+07,101.07,1.60E+07,102.17,1.22E+09,106.1,1.22E+09,100.53,3.00E+07,98.855,2.98E+07,99.383,1.22E+09,99.751,1.22E+09,100.53,3.05E+08,101.62,2.99E+07,107.63,2.99E+07,100.45,2.98E+07,101.55
1.74E+08,74.1,3.09E+08,108.85,1.54E+07,101.07,1.62E+07,102.17,1.23E+09,106.1,1.23E+09,100.53,3.04E+07,98.855,3.01E+07,99.383,1.23E+09,99.644,1.23E+09,100.53,3.09E+08,101.62,3.03E+07,107.63,3.03E+07,100.45,3.01E+07,101.55
1.76E+08,73.6,3.13E+08,108.85,1.56E+07,101.07,1.64E+07,102.17,1.25E+09,106.1,1.25E+09,100.53,3.08E+07,98.855,3.05E+07,99.383,1.25E+09,99.511,1.25E+09,100.53,3.13E+08,101.62,3.07E+07,107.63,3.07E+07,100.45,3.05E+07,101.55
1.78E+08,73.1,3.16E+08,108.85,1.58E+07,101.07,1.66E+07,102.17,1.27E+09,106.1,1.27E+09,100.53,3.12E+07,98.855,3.09E+07,99.383,1.27E+09,99.378,1.27E+09,100.53,3.16E+08,101.62,3.11E+07,107.62,3.11E+07,100.45,3.09E+07,101.55
1.81E+08,72.6,3.20E+08,108.85,1.60E+07,101.07,1.68E+07,102.17,1.28E+09,106.1,1.28E+09,100.53,3.16E+07,98.855,3.13E+07,99.383,1.28E+09,99.244,1.28E+09,100.53,3.20E+08,101.62,3.15E+07,107.62,3.14E+07,100.45,3.13E+07,101.55
1.83E+08,72.1,3.24E+08,108.85,1.62E+07,101.07,1.70E+07,102.17,1.30E+09,106.1,1.30E+09,100.53,3.20E+07,98.855,3.17E+07,99.383,1.30E+09,99.084,1.30E+09,100.53,3.24E+08,101.62,3.19E+07,107.61,3.18E+07,100.45,3.17E+07,101.55
1.85E+08,71.6,3.28E+08,108.85,1.64E+07,101.07,1.72E+07,102.17,1.31E+09,106.1,1.31E+09,100.53,3.23E+07,98.855,3.21E+07,99.383,1.31E+09,98.871,1.31E+09,100.53,3.28E+08,101.62,3.22E+07,107.61,3.22E+07,100.45,3.21E+07,101.55
1.87E+08,71.1,3.32E+08,108.85,1.66E+07,101.07,1.74E+07,102.17,1.33E+09,106.1,1.33E+09,100.53,3.27E+07,98.855,3.25E+07,99.383,1.33E+09,98.604,1.33E+09,100.53,3.32E+08,101.62,3.26E+07,107.6,3.26E+07,100.45,3.25E+07,101.55
1.89E+08,70.6,3.36E+08,108.85,1.68E+07,101.07,1.76E+07,102.17,1.34E+09,106.1,1.34E+09,100.53,3.31E+07,98.855,3.28E+07,99.383,1.34E+09,98.391,1.34E+09,100.53,3.36E+08,101.62,3.30E+07,107.6,3.30E+07,100.45,3.29E+07,101.55
1.92E+08,70.1,3.40E+08,108.85,1.70E+07,101.07,1.78E+07,102.17,1.36E+09,106.1,1.36E+09,100.53,3.35E+07,98.855,3.32E+07,99.383,1.36E+09,98.204,1.36E+09,100.53,3.40E+08,101.62,3.34E+07,107.6,3.34E+07,100.45,3.32E+07,101.55
